DEPARTMENT,TOTAL,COUNT,AVERAGE
CHICAGO COMMISSION ON HUMAN RELATIONS,3284.57,31,35.35
CHICAGO DEPARTMENT OF AVIATION,200523.05,252,633.675
CHICAGO DEPARTMENT OF PUBLIC HEALTH,265330.9,531,251.91
CHICAGO DEPARTMENT OF TRANSPORTATION,102521.21,401,158.75
CHICAGO FIRE DEPARTMENT,1345180.94,582,1462.7
CHICAGO POLICE DEPARTMENT,10024678.26,3384,3060.0
CHICAGO PUBLIC LIBRARY,22643.27,58,215.825
CITY TREASURER'S OFFICE,397.85,3,149.85
COMMUNITY COMMISSION FOR PUBLIC SAFETY AND ACCOUNTABILITY,425.0,1,425.0
DEPARTMENT OF BUILDINGS,1120.8,3,385.0
DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,2256.12,15,25.0
DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,2974.83,6,354.995
DEPARTMENT OF FAMILY AND SUPPORT SERVICES,374.82,1,374.82
DEPARTMENT OF FINANCE,1367.06,7,122.43
DEPARTMENT OF HOUSING,2086.2799999999997,2,1043.1399999999999
DEPARTMENT OF HUMAN RESOURCES,345460.43,138,2087.0
DEPARTMENT OF LAW,20415.84,70,385.0
DEPARTMENT OF PLANNING AND DEVELOPMENT,3551.95,8,428.475
DEPARTMENT OF STREETS AND SANITATION,78787.83,412,200.0
DEPARTMENT OF WATER MANAGEMENT,171115.68,433,185.9
MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,3404.92,24,61.125
OFFICE OF BUDGET & MANAGEMENT,3450.28,5,613.51
OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,134337.71,14,2814.6400000000003
OFFICE OF PUBLIC SAFETY ADMINISTRATION,233209.27,226,569.765
OFFICE OF THE MAYOR,58193.79,37,307.79
