DEPARTMENT,TOTAL,# OF PAYMENTS,AVERAGE AMOUNT
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/board-of-election-commissioners/index.html"">BOARD OF ELECTION COMMISSIONERS</a>",19479.0,44,207.39
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/board-of-ethics/index.html"">BOARD OF ETHICS</a>",36334.69,138,67.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-animal-care-and-control/index.html"">CHICAGO ANIMAL CARE AND CONTROL</a>",10584.27,86,51.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-commission-on-human-relations/index.html"">CHICAGO COMMISSION ON HUMAN RELATIONS</a>",16715.05,245,25.07
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-department-of-aviation/index.html"">CHICAGO DEPARTMENT OF AVIATION</a>",805334.92,1578,264.32
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-department-of-public-health/index.html"">CHICAGO DEPARTMENT OF PUBLIC HEALTH</a>",1565709.02,6851,62.71
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-department-of-transportation/index.html"">CHICAGO DEPARTMENT OF TRANSPORTATION</a>",610851.9,4302,75.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-fire-department/index.html"">CHICAGO FIRE DEPARTMENT</a>",9975432.0,5986,930.065
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-police-board/index.html"">CHICAGO POLICE BOARD</a>",3018.89,15,70.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-police-department/index.html"">CHICAGO POLICE DEPARTMENT</a>",75755476.17,23850,3336.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/chicago-public-library/index.html"">CHICAGO PUBLIC LIBRARY</a>",122614.15,362,202.845
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/city-council/index.html"">CITY COUNCIL</a>",1905457.72,5081,125.3
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/city-treasurers-office/index.html"">CITY TREASURER'S OFFICE</a>",73028.11,209,172.44
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/civilian-office-of-police-accountability/index.html"">CIVILIAN OFFICE OF POLICE ACCOUNTABILITY</a>",47529.13,84,385.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/community-commission-for-public-safety-and-accountability/index.html"">COMMUNITY COMMISSION FOR PUBLIC SAFETY AND ACCOUNTABILITY</a>",696.01,9,29.95
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-administrative-hearings/index.html"">DEPARTMENT OF ADMINISTRATIVE HEARINGS</a>",12393.99,221,41.23
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-buildings/index.html"">DEPARTMENT OF BUILDINGS</a>",16926.13,61,25.75
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-business-affairs-and-consumer-protection/index.html"">DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION</a>",148956.45,1317,34.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-cultural-affairs-and-special-events/index.html"">DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS</a>",80663.04,270,135.01
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-environment/index.html"">DEPARTMENT OF ENVIRONMENT</a>",1604.56,6,264.445
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-family-and-support-services/index.html"">DEPARTMENT OF FAMILY AND SUPPORT SERVICES</a>",358571.1,3053,50.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-finance/index.html"">DEPARTMENT OF FINANCE</a>",2311470.7600000002,347,74.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-fleet-and-facility-management/index.html"">DEPARTMENT OF FLEET AND FACILITY MANAGEMENT</a>",115299.18,282,159.495
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-fleet-management/index.html"">DEPARTMENT OF FLEET MANAGEMENT</a>",3377.48,15,229.2
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-housing/index.html"">DEPARTMENT OF HOUSING</a>",14989.09,32,180.505
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-human-resources/index.html"">DEPARTMENT OF HUMAN RESOURCES</a>",4523470.86,1619,2376.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-law/index.html"">DEPARTMENT OF LAW</a>",302943.55,2156,45.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-planning-and-development/index.html"">DEPARTMENT OF PLANNING AND DEVELOPMENT</a>",101693.06,415,145.27
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-procurement-services/index.html"">DEPARTMENT OF PROCUREMENT SERVICES</a>",36920.94,87,92.48
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-revenue/index.html"">DEPARTMENT OF REVENUE</a>",44552.25,690,30.9
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-streets-and-sanitation/index.html"">DEPARTMENT OF STREETS AND SANITATION</a>",178992.03,1190,79.54499999999999
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-technology-and-innovation/index.html"">DEPARTMENT OF TECHNOLOGY AND INNOVATION</a>",34406.37,268,44.99
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-water-management/index.html"">DEPARTMENT OF WATER MANAGEMENT</a>",484069.83,3053,100.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/department-of-zoning-and-land-use-planning/index.html"">DEPARTMENT OF ZONING AND LAND USE PLANNING</a>",8025.28,28,73.03
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/independent-police-review-authority/index.html"">INDEPENDENT POLICE REVIEW AUTHORITY</a>",25062.0,60,56.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/mayors-office-of-special-events/index.html"">MAYOR'S OFFICE OF SPECIAL EVENTS</a>",16864.92,127,55.5
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/mayors-office-for-people-with-disabilities/index.html"">MAYORS OFFICE FOR PEOPLE WITH DISABILITIES</a>",35283.46,418,29.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/office-of-budget-&-management/index.html"">OFFICE OF BUDGET & MANAGEMENT</a>",48282.67,94,99.75999999999999
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/office-of-city-clerk/index.html"">OFFICE OF CITY CLERK</a>",17175.14,45,272.0
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/office-of-compliance/index.html"">OFFICE OF COMPLIANCE</a>",5275.82,42,24.5
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/office-of-emergency-management-and-communications/index.html"">OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS</a>",349064.08999999997,347,631.69
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/office-of-public-safety-administration/index.html"">OFFICE OF PUBLIC SAFETY ADMINISTRATION</a>",309363.54,300,591.01
"<a href=""https://hgorledeenn.github.io/Chicago-Reimbursements-site/office-of-the-mayor/index.html"">OFFICE OF THE MAYOR</a>",344536.87,1051,276.83
